Title,Author,Rating,Rating Count,Source,Available,Duration,Holds,Wait (days)
The Old Patagonian Express,Paul Theroux,3.93,11804,OverDrive,Yes,,0,14
The Salt Path,Raynor Winn,3.93,104856,OverDrive,Yes,,0,4
The Chrysalids & Survival,John Wyndham,3.93,62975,OverDrive,No,,0,14
The Wild Silence,Raynor Winn,3.92,19335,OverDrive,Yes,,0,7
Life,Keith Richards,3.9,98997,OverDrive,Yes,,0,5
Notes from a Big Country,Bill Bryson,3.9,69802,OverDrive,No,,0,7
The God Delusion,Richard Dawkins,3.9,285492,OverDrive,No,,1,28
Waiting to be Heard,Amanda Knox,3.89,20434,OverDrive,Yes,,0,14
The Ghost Map,Steven Johnson,3.89,56946,OverDrive,Yes,,0,14
Die With Zero,Bill Perkins,3.89,38075,OverDrive,No,,4,18
This is Your Brain on Music,Daniel Levitin,3.89,68440,OverDrive,No,,2,21
The Reason I Jump,Naoki Higashida,3.88,63149,OverDrive,Yes,,0,1
Talk Like TED,Carmine Gallo,3.88,22045,OverDrive,No,,1,28
Elizabeth the Queen,Sally Bedell Smith,3.88,29252,OverDrive,No,,0,14
The Secret Barrister,The Secret Barrister,3.88,22780,OverDrive,No,,1,28
Other Minds,Peter Godfrey-Smith,3.88,28706,OverDrive,No,,0,7
Chocky,John Wyndham,3.87,12291,OverDrive,Yes,,0,14
Eat That Frog!,Brian Tracy,3.87,83343,OverDrive,Yes,,0,7
The Now Habit,Neil Fiore,3.87,17065,OverDrive,No,,0,14
Believe Me,Eddie Izzard,3.86,10350,OverDrive,Yes,,0,5
I Haven't Been Entirely Honest with You,Miranda Hart,3.86,11718,OverDrive,No,,2,6
Scrappy Little Nobody,Anna Kendrick,3.85,107319,OverDrive,Yes,,0,7
Cousin Bette,Honore De Balzac,3.85,10804,OverDrive,Yes,,0,14
Why Has Nobody Told Me This Before?,Julie Smith,3.85,51081,OverDrive,No,,0,2
No One Is Too Small to Make a Difference,Greta Thunberg,3.85,28029,OverDrive,Yes,,0,5
Neither Here Nor There,Bill Bryson,3.85,79738,OverDrive,No,,1,10
